price,publisher,edition_year,name,ratings
26.00元,吉林文史出版社,2007-1,少有人走的路,8.4
29.00,华夏出版社,2008-1,遇见未知的自己,8.1
53.00元/68.00元,群众出版社,1981-8,福尔摩斯探案全集（上中下）,9.2
23.00元,上海译文出版社,2003-4,一九八四·动物农场,9.2
26.00,人民文学出版社,2008-12,亲爱的安德烈,8.7
29.80元,长江文艺出版社,2008-10,小时代1.0折纸时代,6.7
12.70元,上海译文出版社,1989-10,百年孤独,8.9
27.00元,作家出版社,2007-9,素年锦时,7.8
28.00元,上海人民出版社,2007-9,灿烂千阳,8.7
8.20元,上海译文出版社,1999-10,老人与海,8.3
36.00元,湖南文艺出版社,2013-11-1,从你的全世界路过,7.3
27.00元,上海译文出版社,2005-12,洛丽塔,7.7
39.50元,南海出版公司,2012-9-1,霍乱时期的爱情,8.9
12.80,知识出版社,1999-11-1,第一次的亲密接触,7.4
36.00元,南海出版公司,2010-6,1Q84 BOOK 2,8.4
20.00元,南海出版公司,2001-9,彼岸花,7.8
18.00元,天津人民出版社,2004-7,情书,8.6
19.90元,二十一世纪出版社,2006-1,一座城池,7.4
7.80元,译林出版社,1997-2,麦田里的守望者,7.9
13.00元,人民文学出版社,1993-7,傲慢与偏见,8.8
29.80元,武汉大学出版社,2010-2,天才在左 疯子在右,8.3
24.80,中国友谊出版公司,2006-9,明朝那些事儿（壹）,8.8
26.50元,人民文学出版社,2000-9,哈利·波特与阿兹卡班的囚徒,8.9
22.00元,人民文学出版社,2000-9,哈利·波特与密室,8.8
12.00元,人民文学出版社,2004-06,了不起的盖茨比,8.3
19.00元,作家出版社,2005-1,水仙已乘鲤鱼去,7.8
21.45元,人民文学出版社,1994-11,格林童话全集,8.9
18.00元,上海锦绣文章出版社,2008-5,爱你就像爱生命,8.8
22.00元,天津人民出版社,2004-10,清醒纪,7.9
25.00元,南海出版公司,2009-3-1,牧羊少年奇幻之旅,8.7
28.00元,译林出版社,2011-9,这些人，那些事,8.8
24.50元,译林出版社,2006-6,芒果街上的小屋,7.8
18.00,长江文艺出版社,2008-3,陪安东尼度过漫长岁月,8.4
7.50元,长春出版社,2005-1,灌篮高手31,9.5
25.00元,万卷出版公司,2009-1,他的国,7.5
76.8,三联书店,1994-5,神雕侠侣,8.8
16.00元,作家出版社,2001-1,八月未央,7.5
24.80元,长江文艺出版社,2010-3,这些都是你给我的爱,8.5
22.80元,长江文艺出版社,2009-3,西决,8.0
9.00,外国文学出版社,1997-03-01,茶花女,8.1
28.00元,春风文艺出版社,2003-1,幻城,7.1
25.00元,朝华出版社,2007-8,致我们终将逝去的青春,7.9
32.00,重庆出版社,2008-5,三体Ⅱ,9.2
16.00元,书海出版社,2010-7-6,独唱团（第一辑）,7.8
10.00元,上海译文出版社,2007-3,动物农场,9.2
29.80元,湖南文艺出版社,2012-6-20,偷影子的人,7.9
25.00元,上海社会科学院出版社,2003-7,麦琪的礼物,8.6
39.50元,南海出版公司,2011-1,1Q84 BOOK 3,7.6
14.50,上海书店出版社,2003-7-1,阿Q正传,8.6
28.80,中国友谊出版公司,2008-3,明朝那些事儿（伍）,8.8
19.00元,生活·读书·新知三联书店,1997-5,历史深处的忧虑,9.0
26.80元,中国友谊出版公司,2007-11,盗墓笔记3,8.5
24.80,中国友谊出版公司,2007-1,明朝那些事儿（贰）,8.9
25.00元,沈阳出版社,2010-10,蔡康永的说话之道,7.2
18.00元,人民文学出版社,2006-5,东方快车谋杀案,9.0
25.00,南海出版公司,2009-1,当我谈跑步时我谈些什么,8.1
13.00元,北京燕山出版社,2007-6,羊脂球,8.0
15.80元,哈尔滨出版社,2003-8,撒哈拉的故事,9.2
32.00元,辽宁教育出版社,2002-2,地下铁,8.3
25.00元,江苏文艺出版社,2007-9,山楂树之恋,7.9
32.00,北京十月文艺出版社,1988-12-1,穆斯林的葬礼,8.3
58.00元,人民文学出版社,2005-10,哈利·波特与混血王子,8.8
15.00元,上海译文出版社,2007-9,一个人的好天气,7.6
24.00元,春风文艺出版社,2005-2,1995-2005夏至未至,7.4
15.00元,上海译文出版社,2006-8,月亮和六便士,8.9
20.00元,春风文艺出版社,2005-2,年华是无效信,7.6
20.00元,新世界出版社,2005-5,会有天使替我爱你,6.8
20.00元,新世界出版社,2006-3,泡沫之夏,7.0
28.00,北京十月文艺出版社,2009-4,小团圆,7.6
20.00元,译林出版社,1996-10,钢铁是怎样炼成的,7.6
NT$ 299,格林,2000-2-1,月亮忘記了,8.5
20.00元,上海译文出版社,2005-7,情人,8.1
38.00元,重庆出版社,2010-12-1,三体Ⅲ,9.2
25.00元,作家出版社,2006-3,莲花,8.0
39.00元,生活·读书·新知三联书店,2009-10,目送,8.7
26.80元,长江文艺出版社,2010-1,小时代2.0虚铜时代,6.5
7.5,浙江人民美术出版社,2007-11,海贼王,9.5
22.0,人民文学出版社,1990-01-01,尘埃落定,8.4
22.00元,南海出版公司,2007-7,巴别塔之犬,7.7
28.80元,长江文艺出版社,2010-10,橙,8.3
39.80元,新世界出版社,2009-12,你好，旧时光（上 下）,8.8
26.80元,长江文艺出版社,2010-7-1,东霓,8.2
22.00元,译林出版社,2010-1,当我们谈论爱情时我们在谈论什么,7.8
39.50元,南海出版公司,2013-1-1,白夜行,9.2
9.20元,广西民族出版社,2002-1,鲁滨逊漂流记,7.9
22.50元,人民文学出版社,1982-6,巴黎圣母院,8.3
20.00元,上海译文出版社,2007-7,一个陌生女人的来信,8.7
27.00元,中国青年出版社,1997-10,沉默的大多数,9.1
23.80元,天津教育出版社,2006-8,人生若只如初见,7.3
25.00,人民文学出版社,1997-08,安徒生童话故事集,9.1
28.00元,译林出版社,2007-3,麦田里的守望者,8.1
18.00元,作家出版社,2002-8,蔷薇岛屿,8.0
23.00元,陕西师范大学出版社,2009-07-01,黄金时代,8.8
13.5元,哈尔滨出版社,2005年6月,金锁记,8.5
29.00,东方出版社,2008-1,匆匆那年（上下）,8.3
26.80,作家出版社,1999-04,苏菲的世界,8.5
22.00元,新世界出版社,2007-2,喜宝,8.1
59.00元,人民文学出版社,2003-9,哈利·波特与凤凰社,8.6
22.00元,东方出版中心,2001-4,文化苦旅,7.8
25.00元,上海译文出版社,2003-4,海边的卡夫卡,8.1
20.00元,南海出版公司,2010-1,放学后,7.6
39.50元,人民文学出版社,1998-05,三国演义（全二册）,9.2
43.90元,上海译文出版社,1991-12-1,基督山伯爵,8.9
23.00元,上海译文出版社,2007-7,挪威的森林,8.4
12.80元,花城出版社,1996-06,红玫瑰与白玫瑰,8.3
28.00元,上海译文出版社,2006-10,在路上,7.8
15.80元,哈尔滨出版社,2003-6,哭泣的骆驼,8.9
47.00元,生活·读书·新知三联书店,1999-04,射雕英雄传（全四册）,8.9
0.36元,人民文学出版社,1973年3月,呐喊,8.8
25.00元,华文出版社,2004-1,此间的少年,8.4
38.00元,中信出版社,2007-6,货币战争,7.3
36.00元,南海出版公司,2010-5,1Q84 BOOK 1,8.3
32.00元,长江文艺出版社,2004-4,狼图腾,8.3
18.00元,生活·读书·新知三联书店,1997-5,万历十五年,8.9
39.80元,人民文学出版社,2001-5,哈利·波特与火焰杯,8.9
16.00元,生活·读书·新知三联书店,2002-8,向左走·向右走,8.4
66.00元,人民文学出版社,1992-6,悲惨世界（上中下）,8.9
20.00元,上海译文出版社,2005-5,香水,8.5
16.00元,中央编译出版社,1998-01,乌合之众,8.4
20.00元,北方妇女儿童出版社,2004-10,我的路,8.6
19.50元,远方出版社,2004-1,草样年华,7.2
39.80元,现代出版社,2011-1,华胥引（全二册）,8.6
29.90元,人民文学出版社,2006-7,肖申克的救赎,9.1
11.80元,上海译文出版社,2001-8,且听风吟,7.8
32.80元,中国友谊出版公司,2008-11,盗墓笔记4,8.5
12.00,人民文学出版社,2000-3-1,骆驼祥子,8.2
16.00元,译林出版社,2006-8,看不见的城市,8.8
35.00元,人民文学出版社,2004-1,往事并不如烟,8.6
28.00元,北京十月文艺出版社,2010-4-1,1984,9.3
23.80元,江苏文艺出版社,2010-01,那些回不去的年少时光,8.5
28.00元,北京十月文艺出版社,2007-6,梦里花落知多少,8.8
68.00元,中信出版社,2011-10-24,史蒂夫·乔布斯传,8.7
16.80元,南海出版公司,1998-9,许三观卖血记,8.6
26.80元,中国友谊出版公司,2007-1,盗墓笔记,8.4
16.00元,上海文艺出版社,2005-8,兄弟（上）,8.3
20.00元,南海出版公司,2003-1,窗边的小豆豆,8.7
20.00元,新世界出版社,2007-2,佳期如梦,8.0
NT$220,大田,2004-12-1,一個人住第5年,8.4
19.00,中国社会科学出版社,2000-1,告别薇安,7.5
28.00元,人民文学出版社,1997年,白鹿原,8.6
29.90元,人民文学出版社,2007-4,时间旅行者的妻子,8.1
24.80,中国友谊出版公司,2007-4,明朝那些事儿（叁）,8.9
20.00元,作家出版社,2012-8-1,活着,9.3
20.00元,南海出版公司,2004-1,二三事,7.7
25.00,江苏文艺出版社,2009-8,微微一笑很倾城,8.2
18.80元,生活·读书·新知三联书店,2003-7,我们仨,8.6
12.00元,北岳文艺出版社,2002-4,边城,8.6
24.00元,长江文艺出版社,2007-5,悲伤逆流成河,6.4
20.00元,中国青年出版社,2004-8,长安乱,7.4
96.0,三联书店,1994-5,天龙八部,9.0
34.99美元,Arthur A. Levine Books,2007-7-21,Harry Potter and the Deathly Hallows,8.9
25.00元,民族出版社,2006-6,步步惊心,8.1
28.00元,北京十月文艺出版社,2006-12,半生缘,8.6
25.00元,中信出版社,2010-1,失恋33天,8.1
22.00元,人民文学出版社,2003-8,小王子,9.0
29.00元,上海人民出版社,2006-5,追风筝的人,8.8
19.00,人民文学出版社,1991-2,围城,8.9
12.00元,南海出版公司,1998-5,活着,9.1
29.80元,南海出版公司,2008-9,白夜行,9.1
18.80元,上海译文出版社,2001-2,挪威的森林,8.0
29.80元,北京十月文艺出版社,2006-12,倾城之恋,8.7
16.80元,哈尔滨出版社,2004-6,飞鸟集,8.8
20.00元,花山文艺出版社,2007-1,那些年，我们一起追的女孩,8.2
25.00元,北京十月文艺出版社,2006-10,七夜雪,8.5
18.80元,北方文艺出版社,2006-4,一只特立独行的猪,8.8
22.00元,南海出版公司,2003-8,长恨歌,8.3
23.80,中国画报出版社,2009-3,曾有一个人，爱我如生命,7.6
25.00元,文化艺术出版社,2010-6,佛祖在一号线,8.2
160 TWD,皇冠出版社,1976,撒哈拉的故事,9.0
18.00,南海出版公司,2009-6,恶意,8.4
76.80元,生活·读书·新知三联书店,1994-5,笑傲江湖（全四册）,8.9
27.30元,人民文学出版社,1999-1,呼啸山庄,8.4
14.80元,光明日报出版社,2001-4,悟空传,8.4
25.00元,朝华出版社,2007-10,原来你还在这里,7.7
25.0,安徽文艺出版社,2006,鬼吹灯之精绝古城,8.1
38.00,广西师范大学出版社,2009-1,常识,8.1
27.00元,上海文艺出版社,2006-3,兄弟（下）,7.5
CNY 35.00,江苏凤凰文艺出版社,2015-5,岛上书店,7.7
16.00元,上海译文出版社,2003-5,左手倒影，右手年华。,6.7
12.00,上海人民出版社,2000-08,零下一度,7.2
108.00元,广州出版社 花城出版社,2008-3,鹿鼎记（全五册）,8.8
19.80元,南海出版公司,2009年11月,嫌疑人X的献身,9.0
19.00,人民文学出版社,2008-3,无人生还,8.9
23.00元,上海译文出版社,2003-7,不能承受的生命之轻,8.4
39.50元,南海出版公司,2014-5,解忧杂货店,8.6
59.70元,人民文学出版社,1996-12,红楼梦,9.5
20.00元,春风文艺出版社,2003-11,梦里花落知多少,7.2
28.00元,上海人民出版社,2004-2,达·芬奇密码,8.2
23.00,重庆出版社,2008-1,三体,8.8
29.80元,人民文学出版社,2005-2,天使与魔鬼,8.2
24.00元,北京十月文艺出版社,2011-1-7,撒哈拉的故事,9.3
22.80元,长江文艺出版社,2009-6,尘埃星球,7.3
23.80元,广西师范大学出版社,2002-2,伊豆的舞女,8.1
38.00元,商务印书馆,2004-1,如何阅读一本书,8.5
28.00元,生活·读书·新知三联书店,2009-12-1,孩子你慢慢来,8.8
28.00,陕西师范大学出版社,2009-1,杜拉拉2华年似水,7.3
22.00,长江文艺出版社,2007-12,不朽,7.7
16.80元,中信出版社,2001-9,谁动了我的奶酪？,7.2
22.00元,南京大学出版社,2010-2,最初的爱情 最后的仪式,8.0
36.80元,上海锦绣文章出版社,2009-1,阿狸·梦之城堡,9.0
26.80,沈阳出版社,2009-1,三生三世 十里桃花,8.3
19.00元,花城出版社,1999-3,黄金时代,8.8
25.00,上海三联书店,2009-6,民主的细节,8.6
16.00元,作家出版社,2002-1,像少年啦飞驰,7.3
22.00元,当代世界出版社,2006-2,左耳,7.1
358.20元,中国海关出版社,2009-4,明朝那些事儿（1-9）,9.1
24.80,中国友谊出版公司,2007-9,明朝那些事儿（肆）,8.8
26.80元,中国友谊出版公司,2007-4,盗墓笔记2,8.2
28.00,南海出版公司,2008-9,嫌疑人X的献身,8.9
25.00元,国际文化出版公司,2010-9,1988：我想和这个世界谈谈,7.9
15.00元,朝华出版社,2007-4,何以笙箫默,8.0
39.80元,广西师范大学出版社,2013-1-1,看见,8.8
18.00元,世界图书出版公司,2003-11,简爱,8.5
64.00元,人民文学出版社,2005-1,平凡的世界（全三部）,9.0
19.50元,人民文学出版社,2000-9,哈利·波特与魔法石,9.0
39.50元,南海出版公司,2011-6,百年孤独,9.2
6.90,牟琳,東立,七龍珠 34,9.2
23.00元,上海译文出版社,2002-12,世界尽头与冷酷仙境,8.5
22.00元,四川科学技术出版社,2005-6,球状闪电,8.7
36.00元,湖南文艺出版社,2014-9-1,乖，摸摸头,7.7
32.00,中国城市出版社,2008-11,秘密,7.3
16.00,商务印书馆,1990-6,菊与刀,8.2
0,三联书店,1999-04,倚天屠龙记(共四册),8.5
23.00元,春风文艺出版社,2004-01,樱桃之远,7.5
36.00元,广西师范大学出版社,2009-10-1,孤独六讲,8.1
28.00元,译林出版社,1998-7,荆棘鸟,8.6
22.00元,长江文艺出版社,2007-11,被窝是青春的坟墓,7.8
8.00,吉林美术出版社,1999-12-01,机器猫哆啦A梦23,9.4
28.00元,天津人民出版社,2006-12,关于莉莉周的一切,7.7
40.00元,译林出版社,2000-9,飘（上下）,9.3
26.00元,陕西师范大学出版社,2007-9,杜拉拉升职记,7.8
16.00,作家出版社,2000-5,三重门,7.4
25.00元,上海三联书店,2010-1,送你一颗子弹,8.6
11.00,花城出版社,1997-3-1,倾城之恋,8.5
29.80元,中国海关出版社,2009年,明朝那些事儿（柒）：大结局,9.0
20.00元,当代世界出版社,2007-10,ZOO,8.6
25.00元,上海译文出版社,2004-5,生活在别处,8.3
29.80元,中国书店,2010-9,拆掉思维里的墙,8.0
28.80,中国海关出版社,2008-11,明朝那些事儿（陆）,8.9
11.00元,上海译文出版社,1996-12,傲慢与偏见,9.0
29.80元,中信出版社,2009,世界因你不同,8.1
21.00元,二十一世纪出版社,2007-6,光荣日（第一季）,6.9
29.80元,重庆出版集团,2009-11,我们台湾这些年,7.4
33.00元,上海译文出版社,2011-1,寻路中国,9.0
28.00元,南海出版公司,2009年9月,幻夜,7.6
16.00元,吉林出版集团有限责任公司,2009年9月,人间失格,8.3
22.00元,长江文艺出版社,2007-1,大地之灯,8.2
38.00元,人民文学出版社,2010-1,失落的秘符,7.5
32.80元,中国友谊出版公司,2010-1,盗墓笔记6,8.5
23.80元,广西师范大学出版社,2008-12,原来你非不快乐,7.2
